sep=,
DeviceTag:,2
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2025-07-11_20:06:00_088 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
216,2272589068,-161.836868,-84.510277,74.278305,-0.092767,-0.108950,0.073962,0
217,2272605735,-161.768250,-84.490211,74.240364,-0.028551,-0.061617,0.072323,0
218,2272622402,-161.673935,-84.466576,74.168358,-0.012429,-0.057884,0.021305,0
219,2272639069,-161.490143,-84.440216,74.021622,-0.092513,-0.271564,0.105544,0
220,2272655736,-160.883179,-84.474937,73.476486,-0.118710,-0.166324,0.194053,0
221,2272672403,-159.784210,-84.637939,72.463890,-0.475115,-0.488730,0.216040,0
222,2272689070,-158.853836,-84.691277,71.795464,-0.099776,-1.068033,-0.010118,0
223,2272705737,-158.403275,-84.604141,71.513321,-0.055398,-1.025308,0.433021,0
224,2272722404,-157.124603,-84.397728,71.037300,-1.033448,-2.687691,1.161560,0
225,2272739071,-155.379913,-84.165680,70.338425,0.732551,3.040344,0.916863,0
226,2272755738,-154.555099,-84.038429,69.335953,-1.292651,-0.523541,0.740784,0
227,2272772405,-151.842484,-83.791359,66.534691,-4.314058,-4.477559,-0.717967,0
228,2272789072,-147.938751,-83.247276,63.029144,-3.786265,-4.079955,-0.058170,0
229,2272805739,-144.008469,-82.454498,59.265285,-3.686631,-4.617360,1.262678,0
230,2272822406,-140.170593,-81.409889,55.647976,-3.835404,-4.318659,1.247022,0
231,2272839073,-136.454819,-80.139488,52.173931,-3.699382,-3.834479,1.537518,0
232,2272855740,-132.863510,-78.639099,49.009850,-3.290036,-3.489734,1.756980,0
233,2272872407,-129.687592,-76.979240,46.267532,-2.419839,-2.492142,1.653238,0
234,2272889074,-126.943436,-75.187828,43.904968,-2.025975,-2.053113,1.632837,0
235,2272905741,-124.597786,-73.248085,41.894402,-1.592907,-1.629994,1.537038,0
